NCTId,Title,Status,Conditions,Interventions,Study Type,Allocation,Phase,Eligibility,Publications,Has Publication,Completion Date,Summary,Adverse Event,Primary Outcome,Secondary Outcome,Purpose,Enrollment,Arms,Has Results
NCT03918499,"IRX-2, Cyclophosphamide, and Pembrolizumab in Treating Participants With Recurrent or Metastatic Gastric or Gastroesophageal Junction Cancer",completed,"['Clinical Stage IV Gastric Cancer AJCC v8', 'Clinical Stage IV Gastroesophageal Junction Adenocarcinoma AJCC v8', 'Clinical Stage IVA Gastric Cancer AJCC v8', 'Clinical Stage IVA Gastroesophageal Junction Adenocarcinoma AJCC v8', 'Clinical Stage IVB Gastric Cancer AJCC v8', 'Clinical Stage IVB Gastroesophageal Junction Adenocarcinoma AJCC v8', 'Metastatic Gastric Adenocarcinoma', 'Metastatic Gastroesophageal Junction Adenocarcinoma', 'Pathologic Stage IV Gastric Cancer AJCC v8', 'Pathologic Stage IV Gastroesophageal Junction Adenocarcinoma AJCC v8', 'Pathologic Stage IVA Gastroesophageal Junction Adenocarcinoma AJCC v8', 'Pathologic Stage IVB Gastroesophageal Junction Adenocarcinoma AJCC v8', 'Postneoadjuvant Therapy Stage IV Gastric Cancer AJCC v8', 'Postneoadjuvant Therapy Stage IV Gastroesophageal Junction Adenocarcinoma AJCC v8', 'Postneoadjuvant Therapy Stage IVA Gastroesophageal Junction Adenocarcinoma AJCC v8', 'Postneoadjuvant Therapy Stage IVB Gastroesophageal Junction Adenocarcinoma AJCC v8', 'Recurrent Gastric Adenocarcinoma', 'Recurrent Gastroesophageal Junction Adenocarcinoma']","[{'type': 'DRUG', 'name': 'Cyclophosphamide', 'description': 'Given IV', 'armGroupLabels': ['Treatment (pembrolizumab, cyclophosphamide, and IRX-2)'], 'otherNames': ['(-)-Cyclophosphamide', '2H-1,3,2-Oxazaphosphorine, 2-[bis(2-chloroethyl)amino]tetrahydro-, 2-oxide, monohydrate', 'Carloxan', 'Ciclofosfamida', 'Ciclofosfamide', 'Cicloxal', 'Clafen', 'Claphene', 'CP monohydrate', 'CTX', 'CYCLO-cell', 'Cycloblastin', 'Cycloblastine', 'Cyclophospham', 'Cyclophosphamid monohydrate', 'Cyclophosphamide Monohydrate', 'Cyclophosphamidum', 'Cyclophosphan', 'Cyclophosphane', 'Cyclophosphanum', 'Cyclostin', 'Cyclostine', 'Cytophosphan', 'Cytophosphane', 'Cytoxan', 'Fosfaseron', 'Genoxal', 'Genuxal', 'Ledoxina', 'Mitoxan', 'Neosar', 'Revimmune', 'Syklofosfamid', 'WR- 138719']}, {'type': 'BIOLOGICAL', 'name': 'Cytokine-based Biologic Agent IRX-2', 'description': 'Given SC', 'armGroupLabels': ['Treatment (pembrolizumab, cyclophosphamide, and IRX-2)'], 'otherNames': ['IRX-2']}, {'type': 'BIOLOGICAL', 'name': 'Pembrolizumab', 'description': 'Given IV', 'armGroupLabels': ['Treatment (pembrolizumab, cyclophosphamide, and IRX-2)'], 'otherNames': ['Keytruda', 'Lambrolizumab', 'MK-3475', 'SCH 900475']}]",INTERVENTIONAL,NA,"['PHASE1', 'PHASE2']","Inclusion Criteria:

* Patients with histologically or cytologically confirmed recurrent or metastatic gastric or gastroesophageal junction (GEJ) adenocarcinoma progressed or intolerant to \>= 2 lines of systemic therapy.
* Patients must have recurrent or metastatic gastric/GEJ adenocarcinoma that are not amenable to local therapy with curative intent (surgery or radiation therapy with or without chemotherapy).
* Willing and able to give informed consent and adhere to protocol therapy; written informed consent and any locally required authorization must be obtained from the patient prior to performing any protocol-related procedures, including screening evaluations.
* No prior exposure to PD-1/PD-L 1 inhibitor therapy.
* Patients are deemed eligible for pembrolizumab therapy with tumors demonstrating PD-L1 expression by the Combined Positive Score (CPS) being \>= 1 as per the Food and Drug Administration (FDA)-approved Dako PD-L1 immunohistochemistry (IHC) 22C3 PharmDx assay.
* Eastern Cooperative Oncology Group (ECOG) 0-1.
* Body weight must be \> 30 Kg.
* Hemoglobin \> 8 g/dL.
* Absolute neutrophil count (ANC) \> 1,200 x 10\^9/mL.
* Platelet count \> 75 x 10\^9/mL.
* Serum bilirubin =\< 1.5 x institutional upper limit of normal (ULN) OR direct bilirubin =\< ULN if total bilirubin levels \> 1.5 x ULN.
* Aspartate aminotransferase (AST/serum glutamic oxaloacetic transaminase \[SGOT\]) and alanine aminotransferase (ALT/serum glutamate-pyruvate transaminase \[SGPT\]) =\< 5 x ULN.
* Prothrombin time (PT) and partial thromboplastin time (PTT) \< 1.5 x the ULN.
* Serum creatinine =\< 1.5 x ULN OR measured creatinine clearance (CL) \> 40 mL/min or calculated creatinine clearance CL \> 40 mL/min by the Cockcroft-Gault formula or by 24- hour urine collection for determination of creatinine clearance.
* Palliative radiation therapy is allowed to non-target lesions at the discretion of the treating physician.
* Patients must have measurable disease, defined as at least one lesion that can be accurately measured in at least one dimension (longest diameter to be recorded) or evaluable disease as outlined in Response Evaluation Criteria in Solid Tumors (RECIST) version 1.1.
* Life expectancy of greater than 3 months in the opinion of the treating physician.
* Female patients of childbearing potential must have a negative serum pregnancy test within 7 days prior to enrollment.

Exclusion Criteria:

* Prior exposure to the IRX-2 regimen and/or PD-1/PD-L1 inhibitors are excluded.
* Radiation therapy with a curable intent within 30 days of first dose of study treatment is excluded. However, radiation therapy with a palliative intent is allowed as long as treatment with study medication occurs \>= 14 days after the last dose of radiation.
* Any medical contraindications or previous therapy that would preclude treatment with the IRX-2 regimen or pembrolizumab.
* Known allergies to ciprofloxacin or phytohemagglutin given trace amount of these agents are contained in IRX-2.
* Patients with ongoing chronic myelosuppression, myelodysplasia, or hemorrhagic cystitis which would contraindicate receipt of cyclophosphamide.
* Any unresolved toxicity National Cancer Institute Common Terminology Criteria for Adverse Events (NCI CTCAE) grade \>= 2 from previous anticancer therapy with the exception of alopecia, vitiligo, and the laboratory values defined in the inclusion criteria.
* Patients with grade \>= 2 neuropathy will be evaluated on a case-by-case basis after consultation with the study physician.
* Patients with irreversible toxicity not reasonably expected to be exacerbated by treatment with IRX-2, pembrolizumab may be included only after consultation with the study physician.
* Active or prior documented autoimmune or inflammatory disorders (including inflammatory bowel disease \[e.g., colitis or Crohn's disease\], diverticulitis \[with the exception of diverticulosis\], systemic lupus erythematosus, Sarcoidosis syndrome, or Wegener syndrome \[granulomatosis with polyangiitis, Graves' disease, rheumatoid arthritis, hypophysitis, uveitis, etc\]). The following are exceptions to this criterion:

  * Patients with vitiligo or alopecia.
  * Patients with hypothyroidism (e.g., following Hashimoto syndrome) stable on hormone replacement.
  * Any chronic skin condition that does not require systemic therapy.
  * Patients without active disease in the last 2 years may be included but only after consultation with the study physician.
  * Patients with celiac disease controlled by diet alone.
* Current or prior use of immunosuppressive medication within 14 days prior to cycle 1, day 1. The following are exceptions to this criterion:

  * Intranasal, inhaled, topical steroid or local steroid injections (e.g., intra articular injection).
  * Systemic corticosteroids at physiologic doses not to exceed 10 mg/day of prednisone or its equivalent.
  * Steroids as premedication for hypersensitivity reactions (e.g., computed tomography \[CT\] scan premedication).
* Major surgical procedure (as defined by the Investigator) within 28 days prior to cycle 1, day 1. Note: Local surgery of isolated lesions for palliative intent is acceptable.
* History of allogeneic organ transplantation.
* Symptomatic cardiopulmonary disease (including congestive heart failure and hypertension), coronary artery disease, serious arrhythmia or chronic lung disease. Patients with these conditions who are stable with relatively minor symptoms and who are appropriate candidates for systemic treatments need not be excluded.
* Myocardial infarction within the last 3 months.
* Has a known history of human immunodeficiency virus (HIV) (HIV 1/2 antibodies).
* Has a history of active hepatitis B requiring ongoing antiviral therapy or a history of untreated hepatitis C.
* Has received a live vaccine within 4 months of planned start of study therapy (cycle 1, day 1).

  * Note: The killed virus vaccines used for seasonal influenza vaccines for injection are allowed provided not within 4 weeks of planned start of study therapy (cycle 1, day 1); however intranasal influenza vaccines (e.g., FluMist) are live attenuated vaccines and are not allowed.
* Signs or symptoms of systemic infection (use of antibiotics to treat superficial infection or contamination of tumor shall not, by itself, be considered evidence of infection).
* Stroke or other symptoms of cerebral vascular insufficiency within the last 3 months.
* Previous diagnosis of invasive cancer from which the individual is not disease-free AND that has required treatment within the past 3 years, except for superficial skin, cervical cancer in-situ, or early stage prostate or bladder cancer (i.e. treatment with curative intent and long term disease-free expectations).
* History of leptomeningeal carcinomatosis.
* Known allergy or hypersensitivity to any of the study drugs or any of the study drug excipients.
* Female patients who are pregnant or breastfeeding or male or female patients of reproductive potential who are not willing to employ effective birth control from screening to one year after last dose of cyclophosphamide or 180 days after the last dose of pembrolizumab therapy, whichever is longer.",[],False,2023-02-09,"This phase Ib/II trial studies the side effects of IRX-2, cyclophosphamide, and pembrolizumab work in treating participants with gastric or gastroesophageal junction cancer that has come back or that has spread to other places in the body. Interleukins, such as those found in IRX-2, are proteins made by white blood cells and other cells in the body and may help regulate immune response. Drugs used in chemotherapy, such as cyclophosphamide, work in different ways to stop the growth of tumor cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. Immunotherapy with monoclonal antibodies, such as pembrolizumab, may help the body's immune system attack the cancer, and may interfere with the ability of tumor cells to grow and spread. Giving RX-2, cyclophosphamide, and pembrolizumab may work better in treating participants with gastric or gastroesophageal junction cancer.","""Other Adverse Events"" include all events that were not severe adverse events regardless of grade or relation to treatment.","[{'measure': 'Progression-free Survival', 'description': 'Estimated using the product-limit method of Kaplan and Meier. From initial treatment until progression or death. Progression is defined using Response Evaluation Criteria In Solid Tumors Criteria (RECIST v1.1), as a 20% increase in the sum of the longest diameter of target lesions, or a measurable increase in a non-target lesion, or the appearance of new lesions.', 'timeFrame': 'From first day of study drug administration to disease progression or death, assessed up to 2 years'}]","[{'measure': 'Overall Survival', 'description': 'Estimated using the product-limit method of Kaplan and Meier. From the time of initial treatment until death from any cause.', 'timeFrame': 'Up to 2 years'}, {'measure': 'Overall Response', 'description': 'Per Response Evaluation Criteria In Solid Tumors Criteria (RECIST v1.1) for target lesions and assessed by MRI: Complete Response (CR), Disappearance of all target lesions; Partial Response (PR), \\>=30% decrease in the sum of the longest diameter of target lesions; Overall Response (OR) = CR + PR', 'timeFrame': 'Up to 2 years'}]",treatment,9,"[{'label': 'Treatment (pembrolizumab, cyclophosphamide, and IRX-2)', 'type': 'EXPERIMENTAL', 'description': 'Participants receive pembrolizumab IV over 30 minutes on day 1. Participants also receive cyclophosphamide IV on day 1 and IRX-2 SC for 10 days starting on day 4 during cycles 1, 5, 9, 13, 17, 21, 25, 29, and 33. Treatment repeats every 3 weeks for up to 35 cycles in the absence of disease or unacceptable toxicity.', 'interventionNames': ['Drug: Cyclophosphamide', 'Biological: Cytokine-based Biologic Agent IRX-2', 'Biological: Pembrolizumab']}]",True
NCT05311176,A Study of IMU-131 (HER-Vaxx) in Combination With Chemotherapy or Pembrolizumab in Patients With Metastatic HER2/Neu Over-Expressing Gastric Cancer (nextHERIZON),terminated,"['Gastric Cancer', 'Cancer of Stomach', 'Gastric Adenocarcinoma', 'Stomach Cancer', 'Stomach Adenocarcinoma', 'Gastroesophageal Junction Adenocarcinoma']","[{'type': 'BIOLOGICAL', 'name': 'IMU-131', 'description': 'IMU-131 will be administered intramuscularly into the deltoid region of the arm on Day 1, 15, 29 and 57 and then every 63 days until disease progression or treatment discontinuation.', 'armGroupLabels': ['Arm 1: HER-Vaxx in combination with chemotherapy (ramucirumab plus paclitaxel)', 'Arm 2: HER-Vaxx in combination with pembrolizumab'], 'otherNames': ['HER-Vaxx']}, {'type': 'DRUG', 'name': 'Ramucirumab plus Paclitaxel', 'description': 'Chemotherapy to be administered every 3 weeks (Q3W) starting on Day 1.', 'armGroupLabels': ['Arm 1: HER-Vaxx in combination with chemotherapy (ramucirumab plus paclitaxel)'], 'otherNames': ['Standard of Care Chemotherapy']}, {'type': 'BIOLOGICAL', 'name': 'Pembrolizumab', 'description': 'Pembrolizumab will be administered every 3 weeks (Q3W) starting on Day 1 until disease progression or treatment discontinuation.', 'armGroupLabels': ['Arm 2: HER-Vaxx in combination with pembrolizumab'], 'otherNames': ['Keytruda']}]",INTERVENTIONAL,NON_RANDOMIZED,['PHASE2'],"Inclusion Criteria:

1. Age ≥ 18 years with confirmed diagnosis of advanced or metastatic HER2/neu overexpressing gastric or GEJ adenocarcinoma;
2. Progressed on or after trastuzumab therapy;
3. Eastern Cooperative Oncology Group (ECOG) performance status 0-1;
4. Life expectancy of a minimum of 3 months;
5. At least one measurable lesion as defined by RECIST 1.1 criteria and assessed by the local investigator;
6. HER2/neu overexpression assessed using post-progression fresh or archival tissue, or post-progression pathology report;
7. Adequate left ventricular ejection function at baseline, defined as left ventricular ejection fraction (LVEF) \> 50% by echocardiogram or Multi Gated Acquisition (MUGA) scan;
8. Adequate hematologic, liver and renal function;
9. A female patient of childbearing potential must agree to use a highly effective method of contraception throughout the study and for at least 120 days after the last dose of assigned treatment.

Exclusion Criteria:

1. Previous malignant disease (other than primary malignancy) within the last 5 years, except basal or squamous cell carcinoma of the skin or cervical carcinoma in situ;
2. Concurrent active malignancy except for adequately controlled limited basal cell carcinoma of the skin;
3. Systemic chemotherapy or major surgery within 28 days before starting study treatment and recovered from all adverse events ≤ Grade 1 or baseline with possible exceptions for neuropathy and endocrine-related AEs;
4. Received prior radiotherapy within 2 weeks of start of study treatment and recovered from all radiation-related toxicities and not require corticosteroids; or history of radiation pneumonitis.
5. Previous treatment with trastuzumab-deruxtecan or any other anti-HER2 therapy (except trastuzumab);
6. Clinically significant cardiovascular disease, or other diseases that in the Investigator's opinion may influence the patient's tolerance to study treatment;
7. Pleural effusion or ascites requiring more than weekly drainage;
8. Prior organ transplantation, including allogenic stem-cell transplantation;
9. Chronic immunosuppressive therapy within 7 days prior the first dose of study drug;
10. Active, known, or suspected autoimmune disease;
11. History of (non-infectious) pneumonitis / interstitial lung disease that required steroids or has current pneumonitis / interstitial lung disease;
12. Positivity for human immunodeficiency virus (HIV) (HIV 1/2 antibodies) or active hepatitis B (HBsAg reactive) or active hepatitis C (HCV ribonucleic acid \[RNA\] qualitative) infection;
13. Current participation or has participated in a study of an investigational agent or has used an investigational device within 4 weeks prior to the first dose of study treatment;
14. Any vaccination within 30 days prior to starting study treatment;
15. Pregnant or lactating females;
16. Arm 2 only: Has received prior therapy with an anti-PD-1, anti-PD-L1, or anti-PD-L2 agent;
17. Arm 2 only: Has received prior therapy with an ICI or with an agent directed to another stimulatory or co-inhibitory T-cell receptor (e.g., CTLA-4, OX 40, CD137) and was discontinued from treatment due to a grade 3 or higher adverse event.",[],False,2024-04-04,"This is a Phase 2, signal generating, open-label, 2-Arm, non-randomized study, in patients with metastatic HER2/neu over-expressing gastric cancer or gastroesophageal adenocarcinomas.",,"[{'measure': 'Number of Participants With Treatment-emergent Adverse Events (TEAEs)', 'description': 'An AE was defined as any untoward medical occurrence in a participant who received study drug without regard to possibility of causal relationship. A summary of other non-serious AEs and all serious AEs, regardless of causality is located in the Reported AE section.', 'timeFrame': 'First dose of study drug up to approximately 1.5 years'}, {'measure': 'Number of Participants With Immune-related Adverse Events (irAEs)', 'description': 'irAEs were monitored throughout the study as per National Comprehensive Cancer Network® (NCCN) guidelines. irAEs were defined as any Grade ≥3 event that did not resolve to Grade 1 (or baseline) within 7 days from the onset of the event, or any Grade ≥3 organ toxicity involving major organ systems that persisted for greater than 72 hours.', 'timeFrame': 'First dose of study drug up to approximately 1.5 years'}, {'measure': 'Number of Participants With Objective Response', 'description': 'Objective response was defined as the number of participants achieving a confirmed best overall response of complete response (CR) or partial response (PR) according to Response Evaluation Criteria for Solid Tumors, Version 1.1 (RECIST v1.1).\n\n* CR: Disappearance of all target lesions.\n* PR: At least a 30% decrease in the sum of diameters of target lesions, taking as reference the baseline sum diameters.', 'timeFrame': 'Up to approximately 6 months'}]","[{'measure': 'Overall Survival (OS)', 'description': 'Overall Survival (OS) was defined as the time from first dose of study drug to death due from any cause.', 'timeFrame': 'Up to approximately 6 months'}, {'measure': 'Progression Free Survival (PFS)', 'description': 'PFS was defined as the time from first dose of study drug to first documentation of progressive disease (PD) based on RECIST 1.1, or to death from any cause.\n\nPD: At least a 20% increase in the sum of diameters of target lesions, taking as reference the smallest sum on study.', 'timeFrame': 'Up to approximately 6 months'}, {'measure': 'Duration of Response (DoR)', 'description': 'DoR was measured from earliest CR or PR until first documentation of PD based on RECIST 1.1 or death due to any cause.', 'timeFrame': 'Up to approximately 6 months'}]",treatment,7,"[{'label': 'Arm 1: HER-Vaxx in combination with chemotherapy (ramucirumab plus paclitaxel)', 'type': 'EXPERIMENTAL', 'description': 'Patients who have received an immune checkpoint inhibitor (ICI) previously will exclusively be enrolled in Arm 1 treated with HER-Vaxx (IM) in combination with chemotherapy (ramucirumab plus paclitaxel)', 'interventionNames': ['Biological: IMU-131', 'Drug: Ramucirumab plus Paclitaxel']}, {'label': 'Arm 2: HER-Vaxx in combination with pembrolizumab', 'type': 'EXPERIMENTAL', 'description': 'Arm 2 will investigate the combination of HER-Vaxx plus pembrolizumab in patients who are naïve to ICI treatment including patients who have had chemotherapy only treatment after progression on trastuzumab. As the combination treatment has not been investigated, Arm 2 is planned to initiate with a safety run-in phase.', 'interventionNames': ['Biological: IMU-131', 'Biological: Pembrolizumab']}]",True
