NCTId,Title,Status,Conditions,Interventions,Study Type,Allocation,Phase,Eligibility,Publications,Has Publication,Completion Date,Summary,Adverse Event,Primary Outcome,Secondary Outcome,Purpose,Enrollment,Arms,Has Results
NCT04683939,"Safety, Pharmacokinetics, Pharmacodynamics, and Preliminary Efficacy Trial of BNT141 in Patients With Unresectable or Metastatic CLDN18.2-positive Gastric, Pancreatic, Ovarian and Biliary Tract Tumors",terminated,"['Solid Tumor', 'Gastric Cancer', 'Gastroesophageal Junction Adenocarcinoma', 'Esophageal Adenocarcinoma', 'Pancreatic Cancer', 'Biliary Tract Cancer', 'Cholangiocarcinoma', 'Metastatic Cancer']","[{'type': 'DRUG', 'name': 'BNT141', 'description': 'Intravenous (IV)', 'armGroupLabels': ['Part 1A - BNT141 monotherapy escalation', 'Part 1B - BNT141 in combination with nab-paclitaxel and gemcitabine', 'Part 2 - predefined expansion cohorts']}, {'type': 'DRUG', 'name': 'Nab-paclitaxel', 'description': 'IV', 'armGroupLabels': ['Part 1B - BNT141 in combination with nab-paclitaxel and gemcitabine', 'Part 2 - predefined expansion cohorts']}, {'type': 'DRUG', 'name': 'Gemcitabine', 'description': 'IV', 'armGroupLabels': ['Part 1B - BNT141 in combination with nab-paclitaxel and gemcitabine', 'Part 2 - predefined expansion cohorts']}]",INTERVENTIONAL,NON_RANDOMIZED,"['PHASE1', 'PHASE2']","Key inclusion criteria:

For all Parts:

* Metastatic or unresectable solid tumor.
* Histological or cytological documentation of a solid tumor via a pathology report.
* CLDN18.2-positive tumor sample defined as moderate-to-strong CLDN18.2 protein expression defined as intermediate (2+) to strong (3+) staining intensity in ≥ 50% of tumor cells as assessed by central testing using a CLIA-validated immunohistochemistry assay in formalin-fixed, paraffin-embedded (FFPE) neoplastic tissues. New biopsies and archival bio-samples are allowed. Bone biopsies are not allowed. Cytology specimens (including fine needle aspirates) will not be accepted for CLDN18.2 examination. If archival tissue samples from several points of time are available, the most recent one is preferred. Patients with a lower expression level or with CLDN18.2-negative cancers are not eligible.

Trial part-specific inclusion criteria:

For Part 1A: Patients with solid tumors, for which there is no available standard therapy likely to confer clinical benefit, or the patient is not a candidate for such available therapy. Patients must have received all available standard therapies and failed at least first-line standard of care therapy prior to enrolment. Measurable or evaluable disease per Response Evaluation Criteria in Solid Tumors (RECIST) 1.1. Eligible tumor types are gastric cancer, GEJ and esophageal adenocarcinoma, pancreatic, biliary tract (cholangiocarcinoma and gallbladder cancer), and mucinous ovarian cancers. Additionally, patients with specific tumors (including colorectal cancer, non small-cell lung cancer, gastric subtype of endocervical adenocarcinoma) where there is scientific evidence that the CLDN18.2 could be elevated can be tested for CLDN18.2 expression.

For Part 1B: Patients with advanced pancreatic adenocarcinoma or cholangiocarcinoma who are eligible for treatment with nab-paclitaxel and gemcitabine. Measurable or evaluable disease per RECIST 1.1.

Key exclusion criteria:

* Receiving: radiotherapy, chemotherapy, or molecularly-targeted agents within 3 weeks or 5 half-lives (whichever is longer) of the start of trial treatment; immunotherapy/monoclonal antibodies within 3 weeks of the start of trial treatment (excluding BNT141); nitrosoureas, antibody-drug conjugates, or radioactive isotopes within 6 weeks of the start of trial treatment. Palliative radiotherapy will be allowed.
* Receives concurrent systemic (oral or IV) steroid therapy \>10 mg prednisone daily or its equivalent for an underlying condition. Replacement therapy (e.g., thyroxine, insulin, or physiologic corticosteroid replacement therapy for adrenal or pituitary insufficiency) is not considered a form of systemic treatment and is permitted.
* Major surgery within 4 weeks before the first dose of BNT141.
* Prior treatment with a CLDN18.2 targeting monoclonal antibodies (mAb) other than BNT141.
* Ongoing or active infection requiring IV treatment with anti-infective therapy that has been administered less than 2 weeks prior to the first dose of BNT141.
* Side effects of any prior therapy or procedures for any medical condition not recovered to National Cancer Institute Common Terminology Criteria for Adverse Events (NCI CTCAE) v.5.0 Grade ≤ 1, with the exception of anorexia, fatigue, hyperthyroidism, hypothyroidism, and peripheral neuropathy, which must have recovered to ≤ Grade 2. Alopecia of any grade is allowed.
* Current evidence of new or growing brain or leptomeningeal metastases during screening. Patients with known brain or leptomeningeal metastases may be eligible if they have:

  * Radiotherapy, surgery or stereotactic surgery for the brain or leptomeningeal metastases.
  * No neurological symptoms (excluding Grade ≤ 2 neuropathy).
  * Stable brain or leptomeningeal disease on the computer tomography or magnet resonance imaging scan within 4 weeks before signing the informed consent form.
  * Not undergoing acute corticosteroid therapy or steroid taper.

Additional inclusion and exclusion criteria did apply (please refer to the clinical study protocol for detailed information).","[{'pmid': '37860278', 'type': 'DERIVED', 'citation': 'Bahr-Mahmud H, Ellinghaus U, Stadler CR, Fischer L, Lindemann C, Chaturvedi A, Diekmann J, Woll S, Biermann I, Hebich B, Scharf C, Siefke M, Roth AS, Rao M, Brettschneider K, Ewen EM, Sahin U, Tureci O. Preclinical characterization of an mRNA-encoded anti-Claudin 18.2 antibody. Oncoimmunology. 2023 Oct 16;12(1):2255041. doi: 10.1080/2162402X.2023.2255041. eCollection 2023.'}]",True,2023-07-24,"This study was planned as an open-label, multi-site, Phase I/IIa dose escalation, safety, and pharmacokinetic (PK) trial of BNT141 followed by expansion cohorts in patients with Claudin 18.2 (CLDN18.2)-positive tumors.

The sponsor decided to stop the development of BNT141 on 24 July 2023 and the study was terminated early.","Other AEs: All TEAEs, i.e., AEs with an onset date on or after the first dose of BNT141 (if the AE was absent before the first dose) or worsened after the first dose of BNT141 (if the AE was present before the first dose). AEs with an onset date \>60 days after the last dose of BNT141 are included only if assessed as related to BNT141 by the investigator.","[{'measure': 'Occurrence of Treatment-emergent Adverse Events (TEAEs) Within a Patient Including Grade ≥ 3, Serious, Fatal TEAE by Relationship', 'description': 'All TEAEs are included, i.e., AEs with an onset date on or after the first dose of BNT141 (if the AE was absent before the first dose) or worsened after the first dose of BNT141 (if the AE was present before the first dose). AEs with an onset date \\>60 days after the last dose of BNT141 are included only if assessed as related to BNT141 by the investigator.\n\nIntensity of AEs was graded according to the NCI CTCAE v5.0, i.e.,:\n\nGrade 1 - Mild, Grade 2 - Moderate, Grade 3 - Severe, Grade 4 - Life-threatening consequences; urgent urgent intervention indicated, Grade 5 - Death related to AE', 'timeFrame': 'From start of BNT141 treatment until the second Safety Follow-up Visit (60 ± 7 days after last dose), up to 30 weeks.'}, {'measure': 'Occurrence of Dose Reductions and Discontinuation of BNT141 Due to TEAEs', 'description': 'All TEAEs are included, i.e., AEs with an onset date on or after the first dose of BNT141 (if the AE was absent before the first dose) or worsened after the first dose of BNT141 (if the AE was present before the first dose). AEs with an onset date \\>60 days after the last dose of BNT141 are included only if assessed as related to BNT141 by the investigator', 'timeFrame': 'From start of BNT141 treatment until the second Safety Follow-up Visit (60 ± 7 days after last dose), up to 30 weeks.'}, {'measure': 'Occurrence of Dose-limiting Toxicities (DLTs) Within a Patient During the DLT Evaluation Period', 'description': 'Serious AEs, non-serious Grade ≥ 3 non-hematological and hematological AEs as defined per DLT criteria and clinically significant abnormal laboratory values Grade ≥ 3 were collected and considered a DLT if assessed by the investigator to be at least possibly related to BNT141. Toxicities clearly not related to BNT141 (e.g., progressive disease, comorbidity, etc.) were not considered a DLT. The NCI CTCAE v.5.0 was used to grade the intensity of AEs.', 'timeFrame': 'First treatment cycle (From first dose up to 21 days after first dose)'}]","[{'measure': 'RiboMab PK Parameter - Area Under the Concentration Time Curve (AUC)', 'description': 'Intact RiboMab (full-length and fully assembled antibody) PK serum samples were collected and analyzed.\n\nAUC (0-tau), AUC (0-inf) and AUC (0-504) were estimated from serum concentration data from Cycle 1 using non-compartmental analysis.\n\nAUC (0-inf): Area under the drug concentration-time curve, from time zero to infinity.\n\nAUC (0-504): Area under the drug concentration-time curve, from time zero to 504 hours after the start of the infusion.\n\nAUC (0-tau): Area under the drug concentration-time curve, from time zero over the dosing interval at steady-state (Tau = 504 hours corresponding to 3-weeks administration) after the start of the infusion.', 'timeFrame': 'First treatment cycle (From first dose up to 21 days after first dose)'}, {'measure': 'RiboMab PK Parameter - Clearance', 'description': 'Intact RiboMab (full-length and fully assembled antibody) PK serum samples were collected and analyzed.\n\nClearance was estimated from serum concentration from Cycle 1 data using non-compartmental analysis.', 'timeFrame': 'First treatment cycle (From first dose up to 21 days after first dose)'}, {'measure': 'RiboMab PK Parameter - Volume of Distribution at Steady State (Vss)', 'description': 'Intact RiboMab (full-length and fully assembled antibody) PK serum samples were collected and analyzed.\n\nVolume of distribution at steady state (Vss) was estimated as mean residence time calculated using last measured concentration (MRT inf) \\* CL.', 'timeFrame': 'First treatment cycle (From first dose up to 21 days after first dose)'}, {'measure': 'RiboMab PK Parameter - Maximum Serum Drug Concentration (Cmax)', 'description': 'Intact RiboMab (full-length and fully assembled antibody) PK serum samples were collected and analyzed.\n\nCmax was estimated from serum concentration from Cycle 1 data using non-compartmental analysis.', 'timeFrame': 'First treatment cycle (From first dose up to 21 days after first dose)'}, {'measure': 'RiboMab PK Parameter - Time to Reach Cmax (Tmax)', 'description': 'Intact RiboMab (full-length and fully assembled antibody) PK serum samples were collected and analyzed.\n\nTmax was estimated from serum concentration from Cycle 1 data using non-compartmental analysis.', 'timeFrame': 'First treatment cycle (From first dose up to 21 days after first dose)'}, {'measure': 'RiboMab PK Parameter - Concentration at the End of a Dosing Interval (Taken Directly Before Next Administration) (Ctrough)', 'description': 'Intact RiboMab (full-length and fully assembled antibody) PK serum samples were collected and analyzed.\n\nCtrough was estimated from serum concentration from Cycle 1 data using non-compartmental analysis.\n\nCtrough values are available for participants treated with dose level 1 and dose level 2 only.', 'timeFrame': 'Before start of Cycle 3 (plasma sample taken directly before BNT141 Cycle 3 administration)'}, {'measure': 'RiboMab PK Parameter - Half-time (t½)', 'description': 'Intact RiboMab (full-length and fully assembled antibody) PK serum samples were collected and analyzed.\n\nT½ was estimated from serum concentration from Cycle 1 data using non-compartmental analysis.', 'timeFrame': 'First treatment cycle (From first dose up to 21 days after first dose)'}, {'measure': 'Objective Response Rate (ORR)', 'description': 'ORR was defined as the number of patients in whom a complete response (CR) or partial response (PR), per RECIST 1.1 is confirmed as best overall response.', 'timeFrame': 'From start of first dose of BNT141 until end of trial or start of a new anti-cancer therapy, up to 30 weeks'}, {'measure': 'Disease Control Rate (DCR)', 'description': 'DCR was defined as the number of patients in whom a CR or PR or stable disease (\\[SD\\], per RECIST 1.1, SD assessed at least 6 weeks after first dose) is observed as best overall response.', 'timeFrame': 'From start of first dose of BNT141 until end of trial or start of a new anti-cancer therapy, up to 30 weeks'}, {'measure': 'Duration of Response (DoR)', 'description': 'DOR was defined as the time from first objective response (CR or PR per RECIST 1.1) to first occurrence of objective tumor progression (progressive disease per RECIST 1.1) or death from any cause, whichever occurs first.', 'timeFrame': 'From start of first dose of BNT141 until end of trial or start of a new anti-cancer therapy, up to 30 weeks'}]",treatment,13,"[{'label': 'Part 1A - BNT141 monotherapy escalation', 'type': 'EXPERIMENTAL', 'description': 'Administration once every three weeks (Q3W)', 'interventionNames': ['Drug: BNT141']}, {'label': 'Part 1B - BNT141 in combination with nab-paclitaxel and gemcitabine', 'type': 'EXPERIMENTAL', 'description': 'BNT141 was planned to be administered Q3W. Nab-paclitaxel and gemcitabine was planned to be administered on three days of each 28-day cycle.', 'interventionNames': ['Drug: BNT141', 'Drug: Nab-paclitaxel', 'Drug: Gemcitabine']}, {'label': 'Part 2 - predefined expansion cohorts', 'type': 'EXPERIMENTAL', 'description': 'BNT141 in combination with nab-paclitaxel and gemcitabine', 'interventionNames': ['Drug: BNT141', 'Drug: Nab-paclitaxel', 'Drug: Gemcitabine']}]",True
NCT03918499,"IRX-2, Cyclophosphamide, and Pembrolizumab in Treating Participants With Recurrent or Metastatic Gastric or Gastroesophageal Junction Cancer",completed,"['Clinical Stage IV Gastric Cancer AJCC v8', 'Clinical Stage IV Gastroesophageal Junction Adenocarcinoma AJCC v8', 'Clinical Stage IVA Gastric Cancer AJCC v8', 'Clinical Stage IVA Gastroesophageal Junction Adenocarcinoma AJCC v8', 'Clinical Stage IVB Gastric Cancer AJCC v8', 'Clinical Stage IVB Gastroesophageal Junction Adenocarcinoma AJCC v8', 'Metastatic Gastric Adenocarcinoma', 'Metastatic Gastroesophageal Junction Adenocarcinoma', 'Pathologic Stage IV Gastric Cancer AJCC v8', 'Pathologic Stage IV Gastroesophageal Junction Adenocarcinoma AJCC v8', 'Pathologic Stage IVA Gastroesophageal Junction Adenocarcinoma AJCC v8', 'Pathologic Stage IVB Gastroesophageal Junction Adenocarcinoma AJCC v8', 'Postneoadjuvant Therapy Stage IV Gastric Cancer AJCC v8', 'Postneoadjuvant Therapy Stage IV Gastroesophageal Junction Adenocarcinoma AJCC v8', 'Postneoadjuvant Therapy Stage IVA Gastroesophageal Junction Adenocarcinoma AJCC v8', 'Postneoadjuvant Therapy Stage IVB Gastroesophageal Junction Adenocarcinoma AJCC v8', 'Recurrent Gastric Adenocarcinoma', 'Recurrent Gastroesophageal Junction Adenocarcinoma']","[{'type': 'DRUG', 'name': 'Cyclophosphamide', 'description': 'Given IV', 'armGroupLabels': ['Treatment (pembrolizumab, cyclophosphamide, and IRX-2)'], 'otherNames': ['(-)-Cyclophosphamide', '2H-1,3,2-Oxazaphosphorine, 2-[bis(2-chloroethyl)amino]tetrahydro-, 2-oxide, monohydrate', 'Carloxan', 'Ciclofosfamida', 'Ciclofosfamide', 'Cicloxal', 'Clafen', 'Claphene', 'CP monohydrate', 'CTX', 'CYCLO-cell', 'Cycloblastin', 'Cycloblastine', 'Cyclophospham', 'Cyclophosphamid monohydrate', 'Cyclophosphamide Monohydrate', 'Cyclophosphamidum', 'Cyclophosphan', 'Cyclophosphane', 'Cyclophosphanum', 'Cyclostin', 'Cyclostine', 'Cytophosphan', 'Cytophosphane', 'Cytoxan', 'Fosfaseron', 'Genoxal', 'Genuxal', 'Ledoxina', 'Mitoxan', 'Neosar', 'Revimmune', 'Syklofosfamid', 'WR- 138719']}, {'type': 'BIOLOGICAL', 'name': 'Cytokine-based Biologic Agent IRX-2', 'description': 'Given SC', 'armGroupLabels': ['Treatment (pembrolizumab, cyclophosphamide, and IRX-2)'], 'otherNames': ['IRX-2']}, {'type': 'BIOLOGICAL', 'name': 'Pembrolizumab', 'description': 'Given IV', 'armGroupLabels': ['Treatment (pembrolizumab, cyclophosphamide, and IRX-2)'], 'otherNames': ['Keytruda', 'Lambrolizumab', 'MK-3475', 'SCH 900475']}]",INTERVENTIONAL,NA,"['PHASE1', 'PHASE2']","Inclusion Criteria:

* Patients with histologically or cytologically confirmed recurrent or metastatic gastric or gastroesophageal junction (GEJ) adenocarcinoma progressed or intolerant to \>= 2 lines of systemic therapy.
* Patients must have recurrent or metastatic gastric/GEJ adenocarcinoma that are not amenable to local therapy with curative intent (surgery or radiation therapy with or without chemotherapy).
* Willing and able to give informed consent and adhere to protocol therapy; written informed consent and any locally required authorization must be obtained from the patient prior to performing any protocol-related procedures, including screening evaluations.
* No prior exposure to PD-1/PD-L 1 inhibitor therapy.
* Patients are deemed eligible for pembrolizumab therapy with tumors demonstrating PD-L1 expression by the Combined Positive Score (CPS) being \>= 1 as per the Food and Drug Administration (FDA)-approved Dako PD-L1 immunohistochemistry (IHC) 22C3 PharmDx assay.
* Eastern Cooperative Oncology Group (ECOG) 0-1.
* Body weight must be \> 30 Kg.
* Hemoglobin \> 8 g/dL.
* Absolute neutrophil count (ANC) \> 1,200 x 10\^9/mL.
* Platelet count \> 75 x 10\^9/mL.
* Serum bilirubin =\< 1.5 x institutional upper limit of normal (ULN) OR direct bilirubin =\< ULN if total bilirubin levels \> 1.5 x ULN.
* Aspartate aminotransferase (AST/serum glutamic oxaloacetic transaminase \[SGOT\]) and alanine aminotransferase (ALT/serum glutamate-pyruvate transaminase \[SGPT\]) =\< 5 x ULN.
* Prothrombin time (PT) and partial thromboplastin time (PTT) \< 1.5 x the ULN.
* Serum creatinine =\< 1.5 x ULN OR measured creatinine clearance (CL) \> 40 mL/min or calculated creatinine clearance CL \> 40 mL/min by the Cockcroft-Gault formula or by 24- hour urine collection for determination of creatinine clearance.
* Palliative radiation therapy is allowed to non-target lesions at the discretion of the treating physician.
* Patients must have measurable disease, defined as at least one lesion that can be accurately measured in at least one dimension (longest diameter to be recorded) or evaluable disease as outlined in Response Evaluation Criteria in Solid Tumors (RECIST) version 1.1.
* Life expectancy of greater than 3 months in the opinion of the treating physician.
* Female patients of childbearing potential must have a negative serum pregnancy test within 7 days prior to enrollment.

Exclusion Criteria:

* Prior exposure to the IRX-2 regimen and/or PD-1/PD-L1 inhibitors are excluded.
* Radiation therapy with a curable intent within 30 days of first dose of study treatment is excluded. However, radiation therapy with a palliative intent is allowed as long as treatment with study medication occurs \>= 14 days after the last dose of radiation.
* Any medical contraindications or previous therapy that would preclude treatment with the IRX-2 regimen or pembrolizumab.
* Known allergies to ciprofloxacin or phytohemagglutin given trace amount of these agents are contained in IRX-2.
* Patients with ongoing chronic myelosuppression, myelodysplasia, or hemorrhagic cystitis which would contraindicate receipt of cyclophosphamide.
* Any unresolved toxicity National Cancer Institute Common Terminology Criteria for Adverse Events (NCI CTCAE) grade \>= 2 from previous anticancer therapy with the exception of alopecia, vitiligo, and the laboratory values defined in the inclusion criteria.
* Patients with grade \>= 2 neuropathy will be evaluated on a case-by-case basis after consultation with the study physician.
* Patients with irreversible toxicity not reasonably expected to be exacerbated by treatment with IRX-2, pembrolizumab may be included only after consultation with the study physician.
* Active or prior documented autoimmune or inflammatory disorders (including inflammatory bowel disease \[e.g., colitis or Crohn's disease\], diverticulitis \[with the exception of diverticulosis\], systemic lupus erythematosus, Sarcoidosis syndrome, or Wegener syndrome \[granulomatosis with polyangiitis, Graves' disease, rheumatoid arthritis, hypophysitis, uveitis, etc\]). The following are exceptions to this criterion:

  * Patients with vitiligo or alopecia.
  * Patients with hypothyroidism (e.g., following Hashimoto syndrome) stable on hormone replacement.
  * Any chronic skin condition that does not require systemic therapy.
  * Patients without active disease in the last 2 years may be included but only after consultation with the study physician.
  * Patients with celiac disease controlled by diet alone.
* Current or prior use of immunosuppressive medication within 14 days prior to cycle 1, day 1. The following are exceptions to this criterion:

  * Intranasal, inhaled, topical steroid or local steroid injections (e.g., intra articular injection).
  * Systemic corticosteroids at physiologic doses not to exceed 10 mg/day of prednisone or its equivalent.
  * Steroids as premedication for hypersensitivity reactions (e.g., computed tomography \[CT\] scan premedication).
* Major surgical procedure (as defined by the Investigator) within 28 days prior to cycle 1, day 1. Note: Local surgery of isolated lesions for palliative intent is acceptable.
* History of allogeneic organ transplantation.
* Symptomatic cardiopulmonary disease (including congestive heart failure and hypertension), coronary artery disease, serious arrhythmia or chronic lung disease. Patients with these conditions who are stable with relatively minor symptoms and who are appropriate candidates for systemic treatments need not be excluded.
* Myocardial infarction within the last 3 months.
* Has a known history of human immunodeficiency virus (HIV) (HIV 1/2 antibodies).
* Has a history of active hepatitis B requiring ongoing antiviral therapy or a history of untreated hepatitis C.
* Has received a live vaccine within 4 months of planned start of study therapy (cycle 1, day 1).

  * Note: The killed virus vaccines used for seasonal influenza vaccines for injection are allowed provided not within 4 weeks of planned start of study therapy (cycle 1, day 1); however intranasal influenza vaccines (e.g., FluMist) are live attenuated vaccines and are not allowed.
* Signs or symptoms of systemic infection (use of antibiotics to treat superficial infection or contamination of tumor shall not, by itself, be considered evidence of infection).
* Stroke or other symptoms of cerebral vascular insufficiency within the last 3 months.
* Previous diagnosis of invasive cancer from which the individual is not disease-free AND that has required treatment within the past 3 years, except for superficial skin, cervical cancer in-situ, or early stage prostate or bladder cancer (i.e. treatment with curative intent and long term disease-free expectations).
* History of leptomeningeal carcinomatosis.
* Known allergy or hypersensitivity to any of the study drugs or any of the study drug excipients.
* Female patients who are pregnant or breastfeeding or male or female patients of reproductive potential who are not willing to employ effective birth control from screening to one year after last dose of cyclophosphamide or 180 days after the last dose of pembrolizumab therapy, whichever is longer.",[],False,2023-02-09,"This phase Ib/II trial studies the side effects of IRX-2, cyclophosphamide, and pembrolizumab work in treating participants with gastric or gastroesophageal junction cancer that has come back or that has spread to other places in the body. Interleukins, such as those found in IRX-2, are proteins made by white blood cells and other cells in the body and may help regulate immune response. Drugs used in chemotherapy, such as cyclophosphamide, work in different ways to stop the growth of tumor cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. Immunotherapy with monoclonal antibodies, such as pembrolizumab, may help the body's immune system attack the cancer, and may interfere with the ability of tumor cells to grow and spread. Giving RX-2, cyclophosphamide, and pembrolizumab may work better in treating participants with gastric or gastroesophageal junction cancer.","""Other Adverse Events"" include all events that were not severe adverse events regardless of grade or relation to treatment.","[{'measure': 'Progression-free Survival', 'description': 'Estimated using the product-limit method of Kaplan and Meier. From initial treatment until progression or death. Progression is defined using Response Evaluation Criteria In Solid Tumors Criteria (RECIST v1.1), as a 20% increase in the sum of the longest diameter of target lesions, or a measurable increase in a non-target lesion, or the appearance of new lesions.', 'timeFrame': 'From first day of study drug administration to disease progression or death, assessed up to 2 years'}]","[{'measure': 'Overall Survival', 'description': 'Estimated using the product-limit method of Kaplan and Meier. From the time of initial treatment until death from any cause.', 'timeFrame': 'Up to 2 years'}, {'measure': 'Overall Response', 'description': 'Per Response Evaluation Criteria In Solid Tumors Criteria (RECIST v1.1) for target lesions and assessed by MRI: Complete Response (CR), Disappearance of all target lesions; Partial Response (PR), \\>=30% decrease in the sum of the longest diameter of target lesions; Overall Response (OR) = CR + PR', 'timeFrame': 'Up to 2 years'}]",treatment,9,"[{'label': 'Treatment (pembrolizumab, cyclophosphamide, and IRX-2)', 'type': 'EXPERIMENTAL', 'description': 'Participants receive pembrolizumab IV over 30 minutes on day 1. Participants also receive cyclophosphamide IV on day 1 and IRX-2 SC for 10 days starting on day 4 during cycles 1, 5, 9, 13, 17, 21, 25, 29, and 33. Treatment repeats every 3 weeks for up to 35 cycles in the absence of disease or unacceptable toxicity.', 'interventionNames': ['Drug: Cyclophosphamide', 'Biological: Cytokine-based Biologic Agent IRX-2', 'Biological: Pembrolizumab']}]",True
